date,city,traffic_index
2024-01-01,Harbor City,80.609
2024-01-02,Harbor City,81.121
2024-01-03,Harbor City,85.547
2024-01-04,Harbor City,83.837
2024-01-05,Harbor City,74.656
2024-01-06,Harbor City,73.863
2024-01-07,Harbor City,77.569
2024-01-08,Harbor City,79.881
2024-01-09,Harbor City,83.681
2024-01-10,Harbor City,82.854
2024-01-11,Harbor City,84.228
2024-01-12,Harbor City,80.627
2024-01-13,Harbor City,77.113
2024-01-14,Harbor City,80.081
2024-01-15,Harbor City,81.963
2024-01-16,Harbor City,82.51
2024-01-17,Harbor City,85.812
2024-01-18,Harbor City,81.065
2024-01-19,Harbor City,81.342
2024-01-20,Harbor City,77.395
2024-01-21,Harbor City,77.971
2024-01-22,Harbor City,80.179
2024-01-23,Harbor City,87.187
2024-01-24,Harbor City,85.279
2024-01-25,Harbor City,82.64
2024-01-26,Harbor City,79.395
2024-01-27,Harbor City,79.073
2024-01-28,Harbor City,79.585
2024-01-29,Harbor City,82.881
2024-01-30,Harbor City,86.117
2024-01-31,Harbor City,90.385
2024-02-01,Harbor City,83.198
2024-02-02,Harbor City,79.589
2024-02-03,Harbor City,76.895
2024-02-04,Harbor City,80.6
2024-02-05,Harbor City,84.827
2024-02-06,Harbor City,85.542
2024-02-07,Harbor City,84.935
2024-02-08,Harbor City,82.876
2024-02-09,Harbor City,82.428
2024-02-10,Harbor City,80.523
2024-02-11,Harbor City,80.968
2024-02-12,Harbor City,81.752
2024-02-13,Harbor City,86.748
2024-02-14,Harbor City,87.362
2024-02-15,Harbor City,85.476
2024-02-16,Harbor City,83.383
2024-02-17,Harbor City,79.997
2024-02-18,Harbor City,81.753
2024-02-19,Harbor City,83.731
2024-02-20,Harbor City,87.375
2024-02-21,Harbor City,88.905
2024-02-22,Harbor City,82.638
2024-02-23,Harbor City,81.515
2024-02-24,Harbor City,79.123
2024-02-25,Harbor City,79.632
2024-02-26,Harbor City,83.56
2024-02-27,Harbor City,90.301
2024-02-28,Harbor City,86.425
2024-02-29,Harbor City,88.002
2024-03-01,Harbor City,79.302
2024-03-02,Harbor City,79.908
2024-03-03,Harbor City,81.749
2024-03-04,Harbor City,85.796
2024-03-05,Harbor City,89.247
2024-03-06,Harbor City,84.257
2024-03-07,Harbor City,79.609
2024-03-08,Harbor City,75.712
2024-03-09,Harbor City,75.989
2024-03-10,Harbor City,74.463
2024-03-11,Harbor City,75.223
2024-03-12,Harbor City,78.435
2024-03-13,Harbor City,79.436
2024-03-14,Harbor City,79.906
2024-03-15,Harbor City,75.526
2024-03-16,Harbor City,74.259
2024-03-17,Harbor City,72.596
2024-03-18,Harbor City,76.696
2024-03-19,Harbor City,80.558
2024-03-20,Harbor City,79.261
2024-03-21,Harbor City,78.43
2024-03-22,Harbor City,72.522
