date,region,demand_mwh
2024-06-15,Coastal Grid,117.142
2024-06-16,Coastal Grid,117.009
2024-06-17,Coastal Grid,120.107
2024-06-18,Coastal Grid,123.338
2024-06-19,Coastal Grid,120.408
2024-06-20,Coastal Grid,121.383
2024-06-21,Coastal Grid,126.364
2024-06-22,Coastal Grid,125.121
2024-06-23,Coastal Grid,122.696
2024-06-24,Coastal Grid,125.228
2024-06-25,Coastal Grid,122.897
2024-06-26,Coastal Grid,122.655
2024-06-27,Coastal Grid,123.831
2024-06-28,Coastal Grid,118.221
2024-06-29,Coastal Grid,117.817
2024-06-30,Coastal Grid,119.495
2024-07-01,Coastal Grid,117.329
2024-07-02,Coastal Grid,119.15
2024-07-03,Coastal Grid,115.041
2024-07-04,Coastal Grid,112.551
2024-07-05,Coastal Grid,117.846
2024-07-06,Coastal Grid,112.674
2024-07-07,Coastal Grid,112.145
2024-07-08,Coastal Grid,107.62
2024-07-09,Coastal Grid,108.693
2024-07-10,Coastal Grid,109.417
2024-07-11,Coastal Grid,105.921
2024-07-12,Coastal Grid,109.044
2024-07-13,Coastal Grid,106.627
2024-07-14,Coastal Grid,107.388
2024-07-15,Coastal Grid,106.945
2024-07-16,Coastal Grid,113.072
2024-07-17,Coastal Grid,109.462
2024-07-18,Coastal Grid,107.923
2024-07-19,Coastal Grid,113.266
2024-07-20,Coastal Grid,109.713
2024-07-21,Coastal Grid,114.245
2024-07-22,Coastal Grid,110.563
2024-07-23,Coastal Grid,113.346
2024-07-24,Coastal Grid,118.174
2024-07-25,Coastal Grid,120.692
2024-07-26,Coastal Grid,120.577
2024-07-27,Coastal Grid,120.99
2024-07-28,Coastal Grid,121.491
2024-07-29,Coastal Grid,119.539
2024-07-30,Coastal Grid,121.848
2024-07-31,Coastal Grid,122.801
2024-08-01,Coastal Grid,126.43
2024-08-02,Coastal Grid,124.705
2024-08-03,Coastal Grid,119.557
2024-08-04,Coastal Grid,123.844
2024-08-05,Coastal Grid,121.502
2024-08-06,Coastal Grid,119.943
2024-08-07,Coastal Grid,121.867
2024-08-08,Coastal Grid,121.668
2024-08-09,Coastal Grid,120.184
2024-08-10,Coastal Grid,114.8
2024-08-11,Coastal Grid,122.688
2024-08-12,Coastal Grid,123.283
2024-08-13,Coastal Grid,123.94
2024-08-14,Coastal Grid,119.858
2024-08-15,Coastal Grid,119.918
2024-08-16,Coastal Grid,117.334
2024-08-17,Coastal Grid,116.836
2024-08-18,Coastal Grid,121.36
2024-08-19,Coastal Grid,122.724
2024-08-20,Coastal Grid,119.772
2024-08-21,Coastal Grid,122.8
2024-08-22,Coastal Grid,122.096
2024-08-23,Coastal Grid,120.763
2024-08-24,Coastal Grid,124.254
2024-08-25,Coastal Grid,128.309
2024-08-26,Coastal Grid,126.188
2024-08-27,Coastal Grid,131.486
2024-08-28,Coastal Grid,123.565
2024-08-29,Coastal Grid,133.235
2024-08-30,Coastal Grid,133.314
2024-08-31,Coastal Grid,134.173
2024-09-01,Coastal Grid,136.76
2024-09-02,Coastal Grid,133.573
2024-09-03,Coastal Grid,139.109
2024-09-04,Coastal Grid,141.752
2024-09-05,Coastal Grid,145.467
2024-09-06,Coastal Grid,141.817
2024-09-07,Coastal Grid,141.878
2024-09-08,Coastal Grid,143.092
2024-09-09,Coastal Grid,146.639
2024-09-10,Coastal Grid,145.36
2024-09-11,Coastal Grid,143.249
2024-09-12,Coastal Grid,145.319
2024-06-15,Inland Grid,122.223
2024-06-16,Inland Grid,125.555
2024-06-17,Inland Grid,123.003
2024-06-18,Inland Grid,125.082
2024-06-19,Inland Grid,126.045
2024-06-20,Inland Grid,124.555
2024-06-21,Inland Grid,129.413
2024-06-22,Inland Grid,129.956
2024-06-23,Inland Grid,129.787
2024-06-24,Inland Grid,129.44
2024-06-25,Inland Grid,126.708
2024-06-26,Inland Grid,128.758
2024-06-27,Inland Grid,128.486
2024-06-28,Inland Grid,126.776
2024-06-29,Inland Grid,127.414
2024-06-30,Inland Grid,127.717
2024-07-01,Inland Grid,129.996
2024-07-02,Inland Grid,124.829
2024-07-03,Inland Grid,123.721
2024-07-04,Inland Grid,121.628
2024-07-05,Inland Grid,116.062
2024-07-06,Inland Grid,119.133
2024-07-07,Inland Grid,118.128
2024-07-08,Inland Grid,122.562
2024-07-09,Inland Grid,115.503
2024-07-10,Inland Grid,115.856
2024-07-11,Inland Grid,114.488
2024-07-12,Inland Grid,111.492
2024-07-13,Inland Grid,116.637
2024-07-14,Inland Grid,115.788
2024-07-15,Inland Grid,116.148
2024-07-16,Inland Grid,112.72
2024-07-17,Inland Grid,118.72
2024-07-18,Inland Grid,113.131
2024-07-19,Inland Grid,118.724
2024-07-20,Inland Grid,123.559
2024-07-21,Inland Grid,117.486
2024-07-22,Inland Grid,119.767
2024-07-23,Inland Grid,122.63
2024-07-24,Inland Grid,122.563
2024-07-25,Inland Grid,121.427
2024-07-26,Inland Grid,126.34
2024-07-27,Inland Grid,124.813
2024-07-28,Inland Grid,129.273
2024-07-29,Inland Grid,126.825
2024-07-30,Inland Grid,133.069
2024-07-31,Inland Grid,128.059
2024-08-01,Inland Grid,129.258
2024-08-02,Inland Grid,131.786
2024-08-03,Inland Grid,126.781
2024-08-04,Inland Grid,129.622
2024-08-05,Inland Grid,131.394
2024-08-06,Inland Grid,123.803
2024-08-07,Inland Grid,126.885
2024-08-08,Inland Grid,125.895
2024-08-09,Inland Grid,125.84
2024-08-10,Inland Grid,119.886
2024-08-11,Inland Grid,118.362
2024-08-12,Inland Grid,121.284
2024-08-13,Inland Grid,119.505
2024-08-14,Inland Grid,118.224
2024-08-15,Inland Grid,117.391
2024-08-16,Inland Grid,114.127
2024-08-17,Inland Grid,115.497
2024-08-18,Inland Grid,115.103
2024-08-19,Inland Grid,112.462
2024-08-20,Inland Grid,118.291
2024-08-21,Inland Grid,115.207
2024-08-22,Inland Grid,111.712
2024-08-23,Inland Grid,116.506
2024-08-24,Inland Grid,113.493
2024-08-25,Inland Grid,118.457
2024-08-26,Inland Grid,120.372
2024-08-27,Inland Grid,116.999
2024-08-28,Inland Grid,122.368
2024-08-29,Inland Grid,122.419
2024-08-30,Inland Grid,124.692
2024-08-31,Inland Grid,128.473
2024-09-01,Inland Grid,124.797
2024-09-02,Inland Grid,124.786
2024-09-03,Inland Grid,125.506
2024-09-04,Inland Grid,126.554
2024-09-05,Inland Grid,128.953
2024-09-06,Inland Grid,130.418
2024-09-07,Inland Grid,130.561
2024-09-08,Inland Grid,131.899
2024-09-09,Inland Grid,129.876
2024-09-10,Inland Grid,132.822
2024-09-11,Inland Grid,128.296
2024-09-12,Inland Grid,134.395
2024-06-15,Mountain Grid,129.439
2024-06-16,Mountain Grid,127.356
2024-06-17,Mountain Grid,128.155
2024-06-18,Mountain Grid,132.945
2024-06-19,Mountain Grid,132.433
2024-06-20,Mountain Grid,135.564
2024-06-21,Mountain Grid,135.82
2024-06-22,Mountain Grid,135.188
2024-06-23,Mountain Grid,133.828
2024-06-24,Mountain Grid,132.496
2024-06-25,Mountain Grid,134.936
2024-06-26,Mountain Grid,137.696
2024-06-27,Mountain Grid,135.767
2024-06-28,Mountain Grid,131.756
2024-06-29,Mountain Grid,134.183
2024-06-30,Mountain Grid,133.674
2024-07-01,Mountain Grid,129.625
2024-07-02,Mountain Grid,130.781
2024-07-03,Mountain Grid,129.263
2024-07-04,Mountain Grid,125.171
2024-07-05,Mountain Grid,127.298
2024-07-06,Mountain Grid,126.484
2024-07-07,Mountain Grid,126.481
2024-07-08,Mountain Grid,125.321
2024-07-09,Mountain Grid,118.777
2024-07-10,Mountain Grid,119.005
2024-07-11,Mountain Grid,121.752
2024-07-12,Mountain Grid,121.361
2024-07-13,Mountain Grid,121.193
2024-07-14,Mountain Grid,128.92
2024-07-15,Mountain Grid,121.642
2024-07-16,Mountain Grid,123.423
2024-07-17,Mountain Grid,123.688
2024-07-18,Mountain Grid,123.854
2024-07-19,Mountain Grid,122.649
2024-07-20,Mountain Grid,126.267
2024-07-21,Mountain Grid,123.987
2024-07-22,Mountain Grid,126.525
2024-07-23,Mountain Grid,127.285
2024-07-24,Mountain Grid,129.909
2024-07-25,Mountain Grid,136.317
2024-07-26,Mountain Grid,127.888
2024-07-27,Mountain Grid,134.834
2024-07-28,Mountain Grid,130.474
2024-07-29,Mountain Grid,133.855
2024-07-30,Mountain Grid,138.009
2024-07-31,Mountain Grid,136.008
2024-08-01,Mountain Grid,133.519
2024-08-02,Mountain Grid,134.27
2024-08-03,Mountain Grid,137.175
2024-08-04,Mountain Grid,133.419
2024-08-05,Mountain Grid,134.886
2024-08-06,Mountain Grid,133.605
2024-08-07,Mountain Grid,130.962
2024-08-08,Mountain Grid,136.228
2024-08-09,Mountain Grid,131.5
2024-08-10,Mountain Grid,124.073
2024-08-11,Mountain Grid,127.828
2024-08-12,Mountain Grid,124.562
2024-08-13,Mountain Grid,126.782
